,"CC Hard, k=4"
TCGA-GD-A2C5,1
TCGA-GV-A3QI,2
TCGA-XF-AAN2,2
TCGA-FD-A3SM,0
TCGA-4Z-AA7R,1
TCGA-FD-A3SP,3
TCGA-FD-A62N,1
TCGA-FD-A6TD,0
TCGA-FD-A6TA,2
TCGA-G2-A2EJ,3
TCGA-G2-A2EK,3
TCGA-XF-AAN5,2
TCGA-DK-A3WX,0
TCGA-DK-AA6T,3
TCGA-E5-A4U1,1
TCGA-DK-A6B5,0
TCGA-BL-A13I,3
TCGA-ZF-AA56,3
TCGA-BT-A3PH,1
TCGA-DK-A1AA,3
TCGA-BT-A20T,2
TCGA-FD-A6TB,2
TCGA-XF-AAML,2
TCGA-BT-A20V,0
TCGA-CU-A3KJ,0
TCGA-DK-A3IM,3
TCGA-FD-A62P,2
TCGA-FD-A3SS,2
TCGA-CF-A5UA,3
TCGA-DK-AA76,2
TCGA-GV-A3QH,1
TCGA-XF-A9SK,0
TCGA-ZF-A9R2,3
TCGA-FD-A3N6,0
TCGA-FD-A43N,3
TCGA-FD-A6TF,0
TCGA-GV-A3QG,0
TCGA-XF-AAN0,1
TCGA-ZF-A9R3,0
TCGA-UY-A78M,3
TCGA-FD-A43P,1
TCGA-K4-A4AB,0
TCGA-DK-A1AG,2
TCGA-YC-A9TC,0
TCGA-2F-A9KR,0
TCGA-LC-A66R,1
TCGA-CU-A0YR,2
TCGA-4Z-AA80,1
TCGA-E7-A678,0
TCGA-BL-A5ZZ,0
TCGA-GV-A3JW,0
TCGA-FD-A3NA,0
TCGA-XF-A9SJ,1
TCGA-K4-A5RJ,1
TCGA-ZF-A9RF,1
TCGA-GV-A3JV,3
TCGA-CF-A5U8,3
TCGA-XF-A9SY,2
TCGA-DK-A6B0,3
TCGA-XF-A8HH,0
TCGA-CU-A3QU,3
TCGA-FD-A5BU,0
TCGA-DK-A6B1,0
TCGA-4Z-AA7Q,2
TCGA-XF-AAMW,3
TCGA-DK-AA6L,1
TCGA-FD-A3SL,1
TCGA-KQ-A41Q,0
TCGA-CF-A9FL,0
TCGA-CF-A1HS,1
TCGA-UY-A9PE,3
TCGA-CF-A47X,2
TCGA-DK-AA71,2
TCGA-GU-A763,0
TCGA-FD-A5BS,0
TCGA-FD-A6TC,1
TCGA-CF-A1HR,2
TCGA-E7-A4IJ,3
TCGA-HQ-A2OE,3
TCGA-BT-A42C,2
TCGA-G2-A2EF,2
TCGA-DK-A6AV,3
TCGA-UY-A9PF,2
TCGA-E7-A6MF,0
TCGA-E7-A6ME,1
TCGA-XF-A9T4,3
TCGA-XF-AAMX,1
TCGA-ZF-AA58,1
TCGA-FT-A61P,0
TCGA-ZF-A9R1,0
TCGA-UY-A78O,3
TCGA-ZF-A9RM,0
TCGA-UY-A9PB,2
TCGA-2F-A9KO,2
TCGA-K4-A6FZ,1
TCGA-KQ-A41O,0
TCGA-G2-A3IE,1
TCGA-CF-A47Y,3
TCGA-XF-AAMR,0
TCGA-GU-AATO,1
TCGA-FD-A6TH,3
TCGA-K4-A83P,2
