,"CC Hard, k=4"
TCGA-HQ-A5NE,2
TCGA-K4-A3WS,4
TCGA-K4-A3WV,1
TCGA-K4-A4AB,3
TCGA-K4-A4AC,2
TCGA-K4-A5RI,2
TCGA-K4-A5RJ,2
TCGA-K4-A6MB,4
TCGA-K4-A83P,4
TCGA-KQ-A41N,4
TCGA-KQ-A41O,3
TCGA-KQ-A41P,2
TCGA-KQ-A41Q,2
TCGA-KQ-A41R,4
TCGA-KQ-A41S,2
TCGA-LC-A66R,2
TCGA-LT-A5Z6,2
TCGA-MV-A51V,4
TCGA-PQ-A6FI,1
TCGA-PQ-A6FN,1
TCGA-R3-A69X,3
TCGA-SY-A9G5,4
TCGA-UY-A78K,4
TCGA-UY-A78M,3
TCGA-UY-A78N,3
TCGA-UY-A78O,1
TCGA-UY-A8OB,4
TCGA-UY-A9PA,2
TCGA-UY-A9PB,4
TCGA-UY-A9PD,2
TCGA-UY-A9PF,4
TCGA-UY-A9PH,4
TCGA-XF-A8HH,1
TCGA-XF-A9SG,1
TCGA-XF-A9SH,3
TCGA-XF-A9SI,2
TCGA-XF-A9SJ,3
TCGA-XF-A9SK,1
TCGA-XF-A9SL,1
TCGA-XF-A9SM,2
TCGA-XF-A9SP,4
TCGA-XF-A9ST,2
TCGA-XF-A9SU,1
TCGA-XF-A9SV,1
TCGA-XF-A9SW,1
TCGA-XF-A9SX,1
TCGA-XF-A9SY,2
TCGA-XF-A9SZ,2
TCGA-XF-A9T0,2
TCGA-XF-A9T2,1
TCGA-XF-A9T4,1
TCGA-XF-A9T5,4
TCGA-XF-A9T6,2
TCGA-XF-A9T8,4
TCGA-XF-AAME,1
TCGA-XF-AAMF,1
TCGA-XF-AAMG,4
TCGA-XF-AAMH,1
TCGA-XF-AAML,2
TCGA-XF-AAMQ,2
TCGA-XF-AAMR,1
TCGA-XF-AAMX,2
TCGA-XF-AAMY,1
TCGA-XF-AAMZ,4
TCGA-XF-AAN1,1
TCGA-XF-AAN3,1
TCGA-XF-AAN4,1
TCGA-XF-AAN5,4
TCGA-XF-AAN7,2
TCGA-YC-A9TC,4
TCGA-YF-AA3L,4
TCGA-ZF-A9R0,2
TCGA-ZF-A9R1,1
TCGA-ZF-A9R2,3
TCGA-ZF-A9R3,4
TCGA-ZF-A9R4,2
TCGA-ZF-A9R5,3
TCGA-ZF-A9R7,4
TCGA-ZF-A9R9,1
TCGA-ZF-A9RC,4
TCGA-ZF-A9RD,3
TCGA-ZF-A9RE,3
TCGA-ZF-A9RF,2
TCGA-ZF-A9RG,3
TCGA-ZF-A9RL,2
TCGA-ZF-A9RM,1
TCGA-ZF-A9RN,1
TCGA-ZF-AA4N,1
TCGA-ZF-AA4R,1
TCGA-ZF-AA4T,1
TCGA-ZF-AA4U,1
TCGA-ZF-AA4V,4
TCGA-ZF-AA4W,2
TCGA-ZF-AA4X,4
TCGA-ZF-AA51,4
TCGA-ZF-AA52,1
TCGA-ZF-AA53,3
TCGA-ZF-AA54,4
TCGA-ZF-AA56,1
TCGA-ZF-AA58,2
TCGA-ZF-AA5H,1
TCGA-ZF-AA5N,1
